# RO3 runtime Localization_en overrides
# Generated by _TranslationWorkspace/import_translations.py
# ID<TAB>English<TAB>Japanese; canonical source is split_1000 parts 01-27
12400200000	Every @{1} seconds, Live Coals will appear in the territory. Gather them and add them to the Bonfire to earn rewards.	@{1}秒ごとに領地内へ燃える石炭が出現する。集めて焚き火へ投入すると報酬を獲得できる。
12400200001	Every @{1} seconds, Monsters will cause trouble. Defeat them to earn rewards. Draw Third Prize during the final @{2} minutes.	@{1}秒ごとにモンスターが騒動を起こします。モンスターを倒して報酬を獲得しましょう。最後の@{2}分間に3等賞の抽選が行われます。
12400200002	Every @{1} seconds, Monsters will cause trouble. Defeat them to earn rewards. Draw Second Prize during the final @{2} minutes.	@{1}秒ごとにモンスターが騒動を起こします。モンスターを倒して報酬を獲得しましょう。最後の@{2}分間に2等賞の抽選が行われます。
12400200003	Every @{1} seconds, Monsters will cause trouble. Defeat them to earn rewards. Draw First Prize during the final @{2} minutes.	@{1}秒ごとにモンスターが騒動を起こします。モンスターを倒して報酬を獲得しましょう。最後の@{2}分間に1等賞の抽選が行われます。
12400200004	The Bonfire Party has come to a wonderful close. Thank You all for spending the evening with us!	篝火パーティは素晴らしい締めくくりを迎えました。今夜を一緒に過ごしてくれた皆さん、ありがとうございました！
10530000000	Poring	ポリン
10530000001	Lunatic	ルナティック
10530000002	Fabre	ファブル
10530000003	Picky	ピッキー
10530000004	Chonchon	チョンチョン
10530000005	Super Picky	すごいピッキ
10530000006	Willow	ウィロー
10530000007	Condor	コンドル
10530000008	Savage Babe	サベージベイブ
10530000009	Rocker	ロッカー
10530000010	Roda Frog	ロダフロッグ
10530000011	Worm Tail	ワームテール
10530000012	Ambernite	アンバーナイト
10530000013	Spore	スポア
10530000014	Thief Bug	盗蟲
10530000015	Creamy	クリーミー
10530000016	Drops	ドロップス
10530000017	Tarou	タロウ
10530000018	Familiar	ファミリアー
10530000019	Baby Desert Wolf	ベビーデザートウルフ
10530000020	Yoyo	ヨーヨー
10530000021	Scorpion	スコーピオン
10530000022	Poporing	ポポリン
10530000023	Thief Bug Female	雌盗蟲
10530000024	Mandragora	マンドラゴラ
10530000025	Thief Bug Male	雄盗蟲
10530000026	Smokie	スモーキー
10530000027	Boa	ボア
10530000028	Poison Spore	ポイズンスポア
10530000029	Horn	ホルン
10530000030	Bigfoot	ビッグフット
10530000031	Coco	ココ
10530000032	Peco Peco Egg	ペコペコの卵
10530000033	Thief Bug Egg	盗蟲の卵
10530000034	Pupa	プパ
10530000035	Rotar Zairo	ローターザイロ
10530000036	Wraith	レイス
10530000037	Dustiness	ダスティネス
10530000038	Eggyra	エギラ
10530000039	Muka	ムカ
