13540000000	Level Increased
13540000001	Daily Login
13540000002	Card Objective - Insert Card
13540000003	Card Objective - Rank Up
66001	Invite ${1} to use the ${2} action?
66002	Interaction Invitation
66003	Player ${1} has invited you to use the ${2} action
66004	Reject
66005	Agree
66006	Waiting for Acceptance
66007	Waiting for player ${1} to accept the invitation
66008	${1} accepted your invitation
66009	${1} declined your invitation
66010	Failed to add to favorites
66011	Failed to set idle action
66012	Failed to play action
66013	Please select a player
66014	The Distance between you is too great to perform a Duo Action
66015	The other player is currently busy and cannot use Interaction
66016	Action ${1} Unlock Requirement: ${2}
66017	Collect
66018	Solo
66019	Duo
66020	Skills
66021	Idle Settings
66022	Edit
66023	Save
66024	You have no favorite actions. Tap Edit to enter Edit Mode and add actions to your favorites
66025	Select an action to set as your idle action
66026	Your favorite actions have not been saved. Close this screen?
66027	Cancel
66028	Close
66029	Actions cannot be played in your current state or location
66030	Confirm Save
66031	Idle actions cannot be added to favorites
66032	You are currently editing. Tap an action on another tab to save
66033	Your favorite actions have not been saved. Save and close this screen?
66034	Save and Exit
66035	Exit Without Saving
66036	Saved
66037	You're performing actions too frequently. Please try again later
66038	Resting in meditation
66039	Stopped meditating
66040	Cannot be used in combat
66041	Check an action to add it to your favorites. Press and hold to preview
66042	Actions cannot be performed in your current state
11720000000	Meditate
11720000001	Nine-Tone Mantra: Moon Dance
11720000002	Nine-Tone Mantra: Moon Chase
11720000003	Nine-Tone Mantra: Awaiting the Moon
11720000004	Placeholder
11720000005	Sit
11720000006	Hands on Hips
11720000007	Look Back
11720000008	Left Heart
11720000009	Right Heart
1000	${1}${2} X ${3}
1001	${1} X ${2}
1002	Confirm
1003	Cancel
1004	Currently unavailable. Coming soon.
1005	Friendly Reminder
1006	Delete
1007	Menu
1008	Backpack
1009	Function Menu
1010	Total Ratings
1011	_
1012	Tap to close
1013	<sprite name="common_arrow_07_02">
1014	Please wait. Processing…
1015	Rating ${1}
1016	Weapon
1017	Armor
1018	<color=#cc762a>${1}</color>
1019	<u>${1}</u>
1020	Exit
1021	Notice
1022	[${1}]
1023	Expand
1024	Show less
1025	Go
1026	How to Obtain
1027	[<color=${1}><u><link="${2}">${3}</link></u></color>]
1028	${1}d ${2}h ${3}m
1029	${1}h ${2}m
1030	Not Available
1031	Use
1032	、
1033	；
