# Generated from RO3 Recovery Localization_zh_CN.lua.bytes
# Japanese values are NOT stored here; split_1000 parts 1-27 remain canonical.
# zh_CN_sha256=c2b07cf34c138d97351273ad00b1db2645a47be1ff49f4e108f531911963c614
# en_sha256=5ea8f468a675efe64a71eef887e485266d58edf6ce69e52a3d12abbe087340c7
# english_skill_ids_verified=1823
ID	English	ChineseSimplified
10110200000	Blessing	天使之赐福
10110200001	Signum Crucis	天使之光
10110200002	Ruwach	光猎
10110200003	Heal	治愈术
10110200004	Increase AGI	加速术
10110200005	Holy Light	神圣之光
10110200006	Angel Strike	天使之击
10110200007	Angel Protection	天使之护
10110200008	Healing Skills	治疗术
10110200009	Angelus	天使之障壁
10110200010	Slow	缓速术
10110200011	Pneuma	光之障壁
10110200012	Temporary Revive	临时复活术
10110200013	Mace Mastery	钝器熟练度
10110200014	Lex Aeterna	天使之怒
10110200015	Increase SP Recovery	禅心
10110200016	Recovery	痊愈术
10110200017	Magnificat	圣母之颂歌
10110200018	Gloria	幸运之颂歌
10110200019	Magnus Exorcismus	十字驱魔攻击
10110200020	Resurrection	复活术
10110200021	Aspersio	撒水祈福
10110200022	Sanctuary	光耀之堂
10110200023	Kyrie Eleison	霸邪之阵
10110200024	Turn Undead	转生术
10110200025	Impositio Manus	神威祈福
10110200026	Lex Divina	沉默之术
10110200027	Safety Wall	暗之障壁
10110200028	Suffragium	牺牲祈福
10110200029	Assumptio	圣母之祈福
10110200030	Meditatio	冥想
10110200031	Mana Recharge	魔力减免
10110200032	Basilica	神圣殿堂
10110200033	Arcane Mastery	秘术精通
10110200034	Radiant Resurrection	耀光转生
10110200035	Holy Cross Judgment	圣十字惩戒
10110200036	Turn Undead【Extra Trigger】	转生术【额外触发】
10110200037	Radiant Sanctuary	耀光圣庭
10110200038	Divine Light Strike	神光打击
10110200039	Holy Light Bludgeon	圣光钝击
10110200040	Holy Light Resurrection	圣光转生
10110200041	Purifying Light Orbit	净耀光环
10110200042	Sacred Divine Light	神圣治愈
10110200043	Highness Heal	高阶治愈术
10110200044	Hymn of the Lamb	羔羊颂歌
10110200045	Radiant Holy Light	灿烂圣光
10110200046	Sacred Lily	圣洁百合
10110200047	Prayer of the Holy Spirit	圣灵降临祈祷
10110200048	Prayer of Gratitude	感恩祈祷
10110200049	Wood Spirit's Blessing	树灵加护
10110200051	Judex	审判
10110200052	Holy Reckoning	讴歌
10110200053	Double Holy Light	二道圣光
10110200054	Holy Spirit Surge	圣灵涌现
10110200055	Divine Retribution	天罚
10110200056	Holy Stigma	圣痕
10110200057	Hymn of Devotion	奉献颂歌
10110200058	Double Holy Light: Physical	二道圣光：物理
10110200059	Double Holy Light: Magic	二道圣光：魔法
10110200061	Discount	低价买进
10110200062	Overcharge	高价卖出
10110200063	Cart Use	手推车使用
10110200064	Cart Remodeling	改装手推车
10110200065	Vending	露天商店
10110200066	Cart Revolution	手推车攻击
10110200067	Mammonite	金钱攻击
10110200068	Crazy Uproar	大声呐喊
10110200069	Money Throw	金钱投掷
10110200070	Gunpowder Throw	火药投掷
10110200071	Hilt Binding	武器保有
10110200072	Weaponry Research	武器研究
10110200073	Skin Tempering	强化火属性
10110200074	Hammer Fall	大地之击
10110200075	Adrenaline Rush	速度激发
10110200076	Power Thrust	凶砍
10110200077	Maximize Power	武器值最大化
