Index	English	Japanese_Translation
16001	Increases Physical DEF by ${1}~${2}	物理DEFが${1}～${2}増加
16002	Increases Physical ATK by ${1}~${2}	物理ATKが${1}～${2}増加
16003	Physical Damage increased by ${1}%.	物理ダメージが${1}%増加。
16004	Recruitment withdrawn successfully.	募集を取り下げました。
16005	Not enough items. Unable to unlock!	アイテムが不足しているため解放できません！
16006	Not enough Vivify. Unable to craft!	活力が不足しているため製作できません！
16007	Action ${1} Unlock Requirement: ${2}	アクション${1}解放条件：${2}
16008	Closes automatically in ${1} seconds	${1}秒後に自動で閉じます
16009	Waiting for the new Season to begin.	新シーズン開始待ち
16010	^{1}Defeat Ilmata, God of Nature^{2}	^{1}自然神イルマタを倒す^{2}
16011	Complete @{1} Equipment Enchantments	装備エンチャントを@{1}回行う
16012	Say hello to Leiya Bulian for Dumby.	ダンビーの代わりにレイヤ・ブリアンへ挨拶する
16013	Complete @{1} Trades at the Exchange	取引所で@{1}回取引する
16014	Choose a path to begin your journey!	旅を始めるルートを選ぼう！
16015	Automatically ride the Balloon Mount	バルーンマウントに自動騎乗
16016	Kill @{1} monsters in the Munak Cave	ムナック洞窟でモンスターを@{1}体倒す
16017	Perform the opening dance with Luna.	ルナとオープニングダンスを踊る
16018	Head to Grandpa Bob's yard together.	一緒にボブじいさんの庭へ向かう
16019	Check out the Weapon dealer's stall.	武器商人の露店を見る
16020	Tell the professor the race results.	教授にレース結果を伝える
16021	Participate in the Guild Capital War	ギルド王都戦に参加する
16022	Participate in the Hunting Challenge	ハンティングチャレンジに参加する
16023	Use a certain number of Skill Points	一定数のスキルポイントを使用する
16024	Find Poya and accept his commission.	ポヤを探して依頼を受ける
16025	Go to Ant Hell to find the professor	蟻地獄へ行き教授を探す
16026	Ask the Pet Merchant what to do next	ペット商人に次にすることを聞く
16027	Encounter the mysterious woman again	謎の女性と再会する
16028	Complete the Phantom Realm Challenge	ファントムレルムチャレンジを完了する
16029	Follow Bobo to Rent a Madogear Pilot	ボボについて行き魔導ギアパイロットを借りる
16030	Please select ${1} Encounters first.	先に${1}件のエンカウントを選択してください。
16031	Affects your damage against monsters	モンスターへの与ダメージに影響
16032	Affects your Chance to inflict Curse	呪い付与率に影響
16033	Affects your Chance to inflict Blind	暗闇付与率に影響
16034	Reduces ranged Physical damage taken	受ける遠距離物理ダメージを軽減
16035	Increases your damage dealt by ${1}%	与ダメージが${1}%増加
16036	Go to the fork and see what happened	分かれ道へ行き何が起きたか確認する
16037	Retrieve the Professor's instrument.	教授の楽器を回収する。
16038	Take up the position as Guild Master	ギルドマスターに就任する
16039	Passive Stall Closure (Time Expired)	露店自動終了（時間切れ）
16040	Season Settlement: Conqueror Rewards	シーズン精算：征服者報酬
16041	Guild League Elite Settings Reminder	ギルドリーグ精鋭設定リマインダー
16042	Delisted Due to Trade Market Closure	取引市場閉鎖により出品解除
16043	Talk to the Mentor about Job Advance	転職について教官と話す
16044	Member Removed from Adventurer Guild	冒険者ギルドからメンバーを除外
16045	No equipment available for smelting.	精錬可能な装備がありません。
16046	You can save the current attributes.	現在の属性を保存できます。
16047	Rank ${1}: ${2}, Final Score: ${3}\n	ランク ${1}：${2}、最終スコア：${3}\n
16048	Listen to what the Hunter has to say	ハンターの話を聞く
16049	Collect fur from the defeated Eddga*	倒したエドガから毛皮を集める*
16050	Ask the Woman what this is all about	女性に事情を聞く
16051	No other Star Cores in your Backpack	バックパックにほかのスターコアがありません
16052	Increases Move Speed---/Attack Speed	移動速度増加---/攻撃速度
16053	Loading remote configuration file...	リモート設定ファイルを読み込み中...
16054	Error verifying version differences.	バージョン差分の確認に失敗しました。
16055	Regional Capital War Auction - Ready	地方首都戦オークション - 準備
16056	Regional Capital War Auction - Final	地方首都戦オークション - 最終
16057	\nYou bought new clothes ${1} times.	\n新しい服を${1}回購入しました。
16058	Restrict Selling on the Trade Market	取引市場での販売を制限
16059	Adventure Party Function Information	冒険パーティ機能情報
16060	Season Exploration Event - Go to Map	シーズン探索イベント - マップへ
16061	Please select an entry to filter by.	絞り込み項目を選択してください。
16062	This item cannot be Put in the Cart.	このアイテムはカートに入れられません。
16063	Wing items cannot be used while dead	死亡中は翼アイテムを使用できません
