text:10010300015	PATK	物理攻撃
text:10010300016	MATK	魔法攻撃
text:10010300151	DMG vs Large Enemies %	大型へのダメージ %
text:10010400015	PATK	物理攻撃
text:10010400016	MATK	魔法攻撃
text:10010400043	Magic Damage Increase	魔法ダメージ増加
text:10010400147	Increase DMG vs Large Enemies	大型へのダメージ増加
text:10050100000	A vibrant Green Healing Potion that instantly restores 11 HP. Cooldown: 22 sec.	鮮やかな緑の回復ポーション。HPを即座に11回復。クールダウン：22秒。
text:10530000045	Piere	ピエール
text:10530000058	Magnolia	マグノリア
text:10530000067	Isis	イシス
text:10470000446	Piere	ピエール
text:10470000759	Ahn Gu-ho	アン・グホ
text:10470000828	Alphonse	アルフォンス
text:10470000996	Caravan Member	キャラバンメンバー
text:10110200265	Focused Arrow Strike	集中アローストライク
text:13150600321	Take part in events and enjoy your adventures in this world	イベントに参加して、この世界での冒険を楽しもう
text:10960000082	11.Every 22 levels, a Soul Echo unlocks an element and gains a random attribute\n33.You can equip up to 44 Soul Echoes\n55.The elements of equipped Soul Echoes can activate Elemental Resonance. Each Elemental Resonance can reach up to Lv. 66, requiring 77, 88, and 99 elements, respectively.	11.ソウルエコーは22Lv.ごとに属性を1つ解放し、ランダム属性を獲得します\n33.ソウルエコーは最大44個まで装備できます\n55.装備したソウルエコーの属性で属性共鳴を発動できます。各属性共鳴は最大Lv. 66まで上昇し、それぞれ77、88、99種類の属性が必要です。
text:10960000083	11.The elements of equipped Soul Echoes can activate Elemental Resonance. Each Elemental Resonance can reach up to Lv. 22 and requires 33, 44, and 55 elements, respectively.\n66.Each level activated grants the corresponding resonance effect.	11.装備したソウルエコーの属性によって、属性共鳴を発動できます。各属性共鳴は最大Lv. 22まで上昇し、それぞれ33、44、55種類の属性が必要です。\n66.発動したレベルごとに、対応する共鳴効果を獲得します。
text:11250000070	MATK	魔法攻撃
text:11250000071	PATK	物理攻撃
text:12390001064	Milk	ミルク
text:12390100342	A mysterious Metal called Oridecon. It is the hardest known substance and can be used to Enhance Weapons and Accessories.\n Effect: Can be used to Refine +11 to +22 Weapons and Accessories 	オリデオコンと呼ばれる神秘的な金属。知られている物質の中で最も硬く、武器やアクセサリーの強化に使用できる。\n効果：+11～+22の武器およびアクセサリーの精錬に使用できる
